Target	Alias	Gene	Barcode	Filtered	Counts	Corr_Within	Corr_Between
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bcl7c-P1P2	BCL7C___30905372.23-P1P2	0	1038202.0	0.9983231193867084	0.9962110883608788
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bclaf1-P1P2	BCLAF1___136610894.23-P1P2	0	1062114.0	0.9951671804669285	0.9957496728985601
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bclaf1-P1P2	BCLAF1___136610935.23-P1P2	0	604546.0	0.996094651479114	0.9919285836579512
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bclaf1-P1P2	BCLAF1___136610946.23-P1P2	0	939058.0	0.9947842052092815	0.9943901454784513
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Blm-P1P2	BLM_-_91260642.23-P1P2	0	776726.0	0.9970246118184491	0.9968076690801417
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Blm-P1P2	BLM___91260645.23-P1P2	0	264684.0	0.9975269489021434	0.9910802812948422
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Blm-P1P2	BLM___91260649.23-P1P2	0	273858.0	0.9972574460426116	0.9902633840168137
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bmi1-P1P2	BMI1_-_22610195.23-P1P2	0	1362848.0	0.9993854770359547	0.9950143938118352
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bmi1-P1P2	BMI1_-_22610202.23-P1P2	0	1312320.0	0.9995501770325215	0.9968265813428866
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Bmi1-P1P2	BMI1___22610019.23-P1P2	0	1287682.0	0.9996097722538528	0.9970052253767684
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Brca1-P1P2	BRCA1_-_41277328.23-P1P2	0	533426.0	0.9987685302267663	0.9954076634827947
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Brca1-P1P2	BRCA1_-_41277370.23-P1P2	0	364994.0	0.9979189660539536	0.9962116647260628
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Brca1-P1P2	BRCA1___41277361.23-P1P2	0	615244.0	0.9985614734395365	0.9939100687696432
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Brca2-P1P2	BRCA2_-_32889639.23-P1P2	0	549478.0	0.9977532522812822	0.9986091669804666
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Brca2-P1P2	BRCA2_-_32889750.23-P1P2	0	856138.0	0.9965421495837958	0.9934452810910003
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Brca2-P1P2	BRCA2___32889673.23-P1P2	0	532276.0	0.9970564071889629	0.9967165991166341
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Brcc3-P1P2	BRCC3_-_154299779.23-P1P2	0	730444.0	0.9976618485803557	0.9971055423725382
Adamson_T1	K562_SpCas9_target-1_HDR_oBA701_AX227_rep_1	Brcc3-P1P2	BRCC3_-_154299791.23-P1P2	0	928668.0	0.997261321035572	0.9916363220751748
